05e7a1,2024-11-01 17:03:48,OPEN,,
e2ee5d,2024-11-01 17:04:05,QUIT,,
944033,2024-11-01 17:12:22,OPEN,,
900e9a,2024-11-01 17:13:10,DOWN,ts_fup_2,
512795,2024-11-01 17:13:12,DOWN,ts_fup_3,
96abec,2024-11-01 17:13:13,DOWN,ts_fup_1,
8fbb65,2024-11-01 17:19:21,PROG,ts_fup_2,70
2a06a4,2024-11-01 17:22:28,OPEN,,
5c75da,2024-11-01 17:22:30,SELF,ts_fup_2,1
55c385,2024-11-01 17:22:33,QUIT,,
9d4529,2024-11-01 17:23:58,OPEN,,
c827dc,2024-11-01 17:24:38,PROG,ts_fup_2,70
e7122e,2024-11-01 17:24:42,SELF,ts_fup_2,6
85a77d,2024-11-01 17:25:59,PROG,ts_fup_2,80
7bccd9,2024-11-01 17:29:28,OPEN,,
e55dad,2024-11-01 17:30:00,SELF,ts_fup_2,8
e1901e,2024-11-01 17:30:06,QUIT,,
7fad3b,2024-11-01 17:43:14,OPEN,,
fb2341,2024-11-01 17:43:19,PROG,ts_fup_1,100
61233f,2024-11-01 17:43:23,SELF,ts_fup_1,10
60469a,2024-11-01 17:44:24,PROG,ts_fup_1,50
f7e45d,2024-11-01 17:57:16,TEST,,0
4bcb9c,2024-11-01 17:57:50,TEST,,100
b36d01,2024-11-01 17:58:40,TEST,,100
993814,2024-11-01 17:59:18,FREE,,
a047ab,2024-11-01 17:44:38,SELF,ts_fup_1,10
2383e1,2024-11-01 17:59:24,QUIT,,
824334,2024-11-01 17:59:41,OPEN,,
c26dd2,2024-11-01 17:59:46,FREE,,
198590,2024-11-01 18:00:38,TEST,,100
0ae430,2024-11-01 18:01:30,OPEN,,
b05300,2024-11-01 18:01:37,OPEN,,
6c7548,2024-11-01 18:41:16,OPEN,,
ec0488,2024-11-01 18:42:06,DOWN,animal,
f91f8f,2024-11-01 18:42:12,TEST,,0
3453d5,2024-11-01 19:16:03,TEST,,100
cda8ff,2024-11-01 19:16:44,TEST,,0
914868,2024-11-01 19:18:17,TEST,,0
ba545d,2024-11-01 19:19:11,TEST,,0
d36f01,2024-11-01 19:19:52,TEST,,25
360e54,2024-11-01 19:20:47,TEST,,25
2c728e,2024-11-01 19:21:20,TEST,,25
1b747c,2024-11-01 19:22:02,TEST,,25
aab8fa,2024-11-01 19:22:36,TEST,,25
0e4790,2024-11-01 19:23:30,TEST,,25
afc628,2024-11-01 19:23:48,TEST,,50
78b719,2024-11-01 19:24:13,TEST,,50
b06d68,2024-11-01 19:25:29,TEST,,100
83ac6b,2024-11-01 19:25:55,FREE,,
07627b,2024-11-01 19:31:06,OPEN,,
4da814,2024-11-01 19:31:12,TEST,,100
d67845,2024-11-01 19:31:21,FREE,,
023097,2024-11-01 19:32:26,PROG,animal,100
1b7103,2024-11-01 19:33:37,QUIT,,
